duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
490573,0,0.452,0.0852,-27.684,0.0348,0.95,0.654,0.099,0.331,140.115,1988,32,16985
238527,0,0.461,0.437,-7.174,0.0326,0.439,0,0.0971,0.116,119.49,2019,28,4001
349000,0,0.445,0.413,-14.925,0.0658,0.247,0.0111,0.107,0.49,131.512,1971,48,126012
227426,0,0.501,0.0951,-14.584,0.0607,0.988,0.6,0.178,0.348,62.761,2002,53,540626
335733,0,0.531,0.364,-13.023,0.0403,0.776,0.0149,0.0872,0.675,116.103,2010,35,8929
461191,0,0.499,0.27,-13.239,0.0398,0.965,0.502,0.108,0.318,121.684,1991,10,1884
311440,47,0.431,0.877,-4.762,0.0704,2e-04,0.000252,0.152,0.262,148.298,2009,62,482388
64858,0,0.705,0.0636,-20.224,0.45,0.888,0,0.365,0.598,120.182,2015,35,9673
198186,61,0.552,0.733,-6.898,0.0933,0.0209,0,0.0858,0.643,143.56,2016,89,45443239
145132,0,0.275,0.672,-7.713,0.364,0.776,0.72,0.799,0.532,154.539,2015,53,540626
289706,7,0.536,0.223,-16.199,0.0524,0.821,0.81,0.105,0.604,61.805,1965,34,2830
258426,0,0.637,0.414,-11.389,0.0362,0.598,0.924,0.0668,0.577,82.346,2008,22,5145
335373,0,0.461,0.208,-21.894,0.0309,0.815,0.0208,0.234,0.361,89.69,1988,32,16985
550826,0,0.569,0.635,-13.108,0.0642,0.618,0.912,0.167,0.76,88.002,1971,48,126012
36923,20,0.6,0.945,-6.045,0.0401,2.19e-05,0.0107,0.296,0.592,130.043,2015,52,190966
325586,0,0.401,0.317,-14.369,0.0364,0.898,0.76,0.118,0.0633,116.744,2006,47,138549
228306,0,0.423,0.37,-11.655,0.0405,0.95,0.035,0.0767,0.52,134.503,2015,53,540626
173560,0,0.795,0.287,-13.373,0.0891,0.946,0.805,0.121,0.762,106.986,2002,53,540626
216253,32,0.513,0.761,-6.387,0.0459,0.000662,0.0756,0.376,0.611,129.021,2011,65,1348978
191786,26,0.214,0.505,-10.541,0.0492,0.0926,0.767,0.137,0.0513,125.062,2017,49,57563
308160,0,0.472,0.0865,-17.009,0.0433,0.957,0.569,0.221,0.143,74.34,2006,10,1884
263533,0,0.276,0.98,-4.11,0.106,0.000532,0.102,0.321,0.082,102.069,2004,65,1735533
574506,0,0.616,0.239,-14.533,0.0392,0.825,0.612,0.111,0.348,112.785,1993,0,44
369400,16,0.292,0.753,-9.744,0.0579,0.0952,0.669,0.363,0.556,78.593,1997,35,56427
239240,0,0.274,0.994,-2.063,0.0924,0.0173,8.9e-05,0.296,0.0949,88.314,2010,54,123161
370800,0,0.335,0.0948,-17.293,0.0457,0.98,0.594,0.132,0.0676,69.674,2014,21,1719
252466,0,0.397,0.398,-11.144,0.0363,0.918,0.000919,0.235,0.71,134.844,2015,53,540626
383226,15,0.516,0.321,-12.559,0.0281,0.725,0.812,0.153,0.292,132.695,1997,35,56427
245080,33,0.629,0.418,-14.52,0.036,0.179,0.828,0.0878,0.122,139.991,2016,44,98561
226500,40,0.696,0.888,-3.311,0.179,0.0109,0.00348,0.109,0.693,160.088,2013,37,88698
162052,0,0.531,0.38,-17.292,0.0432,0.849,0.901,0.332,0.532,81.017,2018,13,602
308986,1,0.445,0.286,-22.913,0.0781,0.957,0.815,0.552,0.631,109.168,1965,34,2830
297493,47,0.396,0.898,-5.428,0.0544,0.000272,0.000708,0.287,0.352,164.727,2009,62,482388
575040,0,0.4,0.666,-10.041,0.0404,0.364,0.00967,0.0849,0.602,145.007,2007,42,3881
231440,0,0.378,0.664,-10.836,0.0555,0.602,0.264,0.0891,0.628,172.572,2006,10,1884
234160,0,0.191,0.782,-7.796,0.0639,0.299,0.00258,0.0939,0.522,174.412,2001,63,261659
82960,2,0.738,0.872,-7.717,0.0536,0.247,0.921,0.0675,0.972,113.987,2010,11,3063
191757,0,0.395,0.942,-2.585,0.309,0.00751,0,0.135,0.78,134.755,2014,27,31260
377880,19,0.495,0.344,-14.069,0.0316,0.855,0.769,0.26,0.322,139.462,1963,48,190095
319679,22,0.42,0.26,-17.802,0.0312,0.88,0.929,0.189,0.301,93.241,1962,65,1480095
439426,4,0.43,0.202,-16.501,0.0392,0.994,0.898,0.0986,0.0596,138.564,2012,51,313664
347600,38,0.287,0.603,-6.393,0.042,0.000769,0.000361,0.0778,0.234,127.148,2009,62,482388
216306,0,0.448,0.324,-8.884,0.029,0.834,0.424,0.182,0.438,56.531,2015,53,540626
293172,0,0.355,0.674,-9.093,0.0513,0.0111,0.919,0.0901,0.0356,90.954,2016,62,540941
513880,14,0.416,0.747,-10.125,0.0342,0.53,0.906,0.703,0.561,133.872,2017,30,25392
302840,0,0.572,0.504,-10.042,0.0454,0.727,0.000485,0.156,0.501,87.423,2007,42,3881
387400,19,0.475,0.524,-9.804,0.0569,0.6,9.28e-06,0.272,0.717,116.237,1962,65,1480095
242555,0,0.446,0.398,-11.772,0.0545,0.268,0.0288,0.224,0.35,134.005,2013,0,36
338306,28,0.411,0.96,-2.794,0.0928,2.19e-05,0.815,0.183,0.33,92.575,2000,47,285115
527333,0,0.177,0.062,-24.506,0.044,0.993,0.908,0.0922,0.0379,69.194,2016,42,197324
168506,0,0.336,0.347,-8.03,0.0291,0.672,0.00195,0.15,0.448,90.163,2015,53,540626
340000,1,0.555,0.189,-13.997,0.0403,0.919,0.885,0.104,0.382,116.137,2006,10,1884
364712,0,0.438,0.204,-11.191,0.126,0.988,0.439,0.775,0.341,74.1,2015,35,9673
246280,43,0.381,0.954,-3.945,0.0437,0.0563,0.000835,0.537,0.532,155.103,2010,75,2681980
222560,23,0.356,0.314,-17.848,0.0549,0.926,0.841,0.0786,0.519,116.031,1973,39,44896
230000,0,0.479,0.779,-6.297,0.0312,0.272,0,0.106,0.379,105.428,2001,63,261659
383400,49,0.702,0.219,-15.16,0.0432,0.937,0.869,0.0886,0.35,126.331,1965,47,126668
276000,0,0.374,0.598,-4.519,0.0369,0.0535,2.49e-06,0.117,0.269,80.068,2010,54,123161
250773,55,0.549,0.859,-3.993,0.0361,0.0964,2.36e-05,0.322,0.69,77.013,2007,75,2681980
638040,3,0.357,0.265,-12.481,0.0328,0.919,0.544,0.12,0.0771,103.966,1999,34,18212
394285,0,0.675,0.805,-7.63,0.372,0.0718,5.21e-06,0.112,0.777,126.044,2017,0,1738944
284682,0,0.257,0.33,-11.413,0.0384,0.744,0.0284,0.145,0.214,66.194,1991,10,1884
219773,0,0.36,0.986,-2.486,0.103,0.00272,0.00109,0.125,0.217,92.335,2004,65,1735533
236000,5,0.481,0.73,-11.395,0.0478,0.03,0.911,0.105,0.268,180.056,2012,41,49926
244106,13,0.344,0.0313,-21.261,0.0365,0.989,0.736,0.351,0.0986,81.148,2016,74,2898005
173266,0,0.732,0.4,-11.853,0.104,0.967,0.603,0.33,0.761,105.849,2002,53,540626
317506,0,0.179,0.904,-6.603,0.0703,0.0582,8.45e-06,0.246,0.453,77.237,2001,63,261659
560906,0,0.475,0.359,-14.732,0.0381,0.774,0.616,0.0905,0.456,97.148,2008,0,1738944
193767,64,0.647,0.676,-6.025,0.0862,0.0909,0.0227,0.0947,0.41,164.51,2018,85,6547564
483626,0,0.655,0.445,-10.836,0.048,0.473,0.745,0.148,0.748,103.832,2010,22,5145
314320,0,0.476,0.396,-8.575,0.0258,0.391,3.09e-06,0.112,0.369,172.317,2001,63,261659
282380,0,0.426,0.733,-3.739,0.172,0.0511,0.00126,0.294,0.268,159.645,2014,27,31260
214533,0,0.311,0.996,-3.48,0.185,0.00173,0.00266,0.289,0.154,107.805,2004,65,1735533
318293,0,0.351,0.484,-12.201,0.0328,0.241,0.636,0.207,0.386,101.181,2008,22,5145
255946,38,0.421,0.935,-3.079,0.082,1.34e-05,0.784,0.341,0.465,125.136,2000,47,285115
170780,12,0.726,0.629,-6.782,0.192,0.0533,1.21e-05,0.0859,0.538,78.53,2011,37,88698
251000,3,0.782,0.797,-5.423,0.0669,0.307,0.296,0.125,0.729,119.969,2010,11,3063
749080,1,0.545,0.302,-12.389,0.0386,0.857,0.912,0.0777,0.34,115.35,2015,26,2980
181922,65,0.648,0.59,-9.664,0.0942,0.697,0.808,0.111,0.401,81.045,2020,74,1031796
206828,38,0.354,0.836,-7.394,0.0628,0.00637,0.763,0.165,0.407,106.365,2019,40,73980
